shape_id, shape_pt_lat, shape_pt_lon, shape_pt_sequence
6, 40.911605, -73.783807, 108000
6, 40.933394, -73.759792, 110000
6, 40.954061, -73.736125, 111000
6, 40.969432, -73.712964, 112000
6, 40.986744, -73.679131, 114000
6, 41.000732, -73.6647, 115000
6, 41.021277, -73.624621, 116000
6, 41.030171, -73.598306, 118000
6, 41.031682, -73.588173, 120000
6, 41.033817, -73.565859, 121000
6, 41.046611, -73.542846, 124000
6, 41.069041, -73.49788, 134000
6, 41.076913, -73.472966, 135000
6, 41.077456, -73.445527, 136000
6, 41.09673, -73.421132, 138000
6, 41.103996, -73.404588, 148000
6, 41.118928, -73.371413, 149000
6, 41.122265, -73.315408, 151000
6, 41.134844, -73.28897, 152000
6, 41.143077, -73.257742, 153000
6, 41.178677, -73.187076, 155000
6, 41.194255, -73.131532, 158000
6, 41.223231, -73.057647, 167000
6, 41.296501, -72.92829, 171000
6, 41.304979, -72.921747, 173000
7, 41.146305, -73.495626, 130000
7, 41.116012, -73.498149, 128000
7, 41.08876, -73.517828, 127000
7, 41.070547, -73.520021, 126000
7, 41.046611, -73.542846, 124000
7, 41.033817, -73.565859, 121000
7, 41.031682, -73.588173, 120000
7, 41.030171, -73.598306, 118000
7, 41.021277, -73.624621, 116000
7, 41.000732, -73.6647, 115000
7, 40.986744, -73.679131, 114000
7, 40.969432, -73.712964, 112000
7, 40.954061, -73.736125, 111000
7, 40.933394, -73.759792, 110000
7, 40.911605, -73.783807, 108000
7, 40.910321, -73.810242, 106000
7, 40.912161, -73.832185, 105000
7, 40.8615, -73.89058, 56000
7, 40.8253, -73.9299, 7000
7, 40.805157, -73.939149, 4000
7, 40.752998, -73.977056, 1000
8, 40.752998, -73.977056, 1000
8, 40.805157, -73.939149, 4000
8, 40.8253, -73.9299, 7000
8, 40.8615, -73.89058, 56000
8, 40.912161, -73.832185, 105000
8, 40.910321, -73.810242, 106000
8, 40.911605, -73.783807, 108000
8, 40.933394, -73.759792, 110000
8, 40.954061, -73.736125, 111000
8, 40.969432, -73.712964, 112000
8, 40.986744, -73.679131, 114000
8, 41.000732, -73.6647, 115000
8, 41.021277, -73.624621, 116000
8, 41.030171, -73.598306, 118000
8, 41.031682, -73.588173, 120000
8, 41.033817, -73.565859, 121000
8, 41.046611, -73.542846, 124000
8, 41.070547, -73.520021, 126000
8, 41.08876, -73.517828, 127000
8, 41.116012, -73.498149, 128000
8, 41.146305, -73.495626, 130000
9, 41.396363, -73.450163, 147000
9, 41.378159, -73.419118, 146000
9, 41.325684, -73.4338, 145000
9, 41.26763, -73.441421, 144000
9, 41.21662, -73.426703, 143000
9, 41.196202, -73.432434, 142000
9, 41.143382, -73.427917, 140000
9, 41.09673, -73.421132, 138000
9, 41.077456, -73.445527, 136000
9, 41.076913, -73.472966, 135000
9, 41.069041, -73.49788, 134000
9, 41.046611, -73.542846, 124000
9, 41.033817, -73.565859, 121000
9, 41.031682, -73.588173, 120000
9, 41.030171, -73.598306, 118000
9, 41.021277, -73.624621, 116000
9, 41.000732, -73.6647, 115000
9, 40.986744, -73.679131, 114000
9, 40.969432, -73.712964, 112000
9, 40.954061, -73.736125, 111000
9, 40.933394, -73.759792, 110000
9, 40.911605, -73.783807, 108000
9, 40.910321, -73.810242, 106000
9, 40.912161, -73.832185, 105000
9, 40.8615, -73.89058, 56000
9, 40.8253, -73.9299, 7000
9, 40.805157, -73.939149, 4000
9, 40.752998, -73.977056, 1000
10, 40.752998, -73.977056, 1000
10, 40.805157, -73.939149, 4000
10, 40.8253, -73.9299, 7000
10, 40.8615, -73.89058, 56000
10, 40.912161, -73.832185, 105000
10, 40.910321, -73.810242, 106000
10, 40.911605, -73.783807, 108000
10, 40.933394, -73.759792, 110000
10, 40.954061, -73.736125, 111000
10, 40.969432, -73.712964, 112000
10, 40.986744, -73.679131, 114000
10, 41.000732, -73.6647, 115000
10, 41.021277, -73.624621, 116000
10, 41.030171, -73.598306, 118000
10, 41.031682, -73.588173, 120000
10, 41.033817, -73.565859, 121000
10, 41.046611, -73.542846, 124000
10, 41.069041, -73.49788, 134000
10, 41.076913, -73.472966, 135000
10, 41.077456, -73.445527, 136000
10, 41.09673, -73.421132, 138000
10, 41.143382, -73.427917, 140000
10, 41.196202, -73.432434, 142000
10, 41.21662, -73.426703, 143000
10, 41.26763, -73.441421, 144000
10, 41.325684, -73.4338, 145000
10, 41.378159, -73.419118, 146000
10, 41.396363, -73.450163, 147000
11, 41.552728, -73.046126, 166000
11, 41.494204, -73.052655, 165000
11, 41.441752, -73.06359, 164000
11, 41.395139, -73.072499, 163000
11, 41.340272, -73.078609, 162000
11, 41.319718, -73.083548, 161000
11, 41.194255, -73.131532, 158000
11, 41.178677, -73.187076, 155000
11, 41.046611, -73.542846, 124000
11, 40.8253, -73.9299, 7000
12, 40.8253, -73.9299, 7000
12, 41.046611, -73.542846, 124000
12, 41.178677, -73.187076, 155000
12, 41.194255, -73.131532, 158000
12, 41.319718, -73.083548, 161000
12, 41.340272, -73.078609, 162000
12, 41.395139, -73.072499, 163000
12, 41.441752, -73.06359, 164000
12, 41.494204, -73.052655, 165000
12, 41.552728, -73.046126, 166000
