route_id,service_id,trip_id,trip_headsign,direction_id,block_id
5,7,379,"MSU",1,"6251"
5,7,380,"MSU",1,"6263"
5,7,381,"MSU",1,"6219"
5,7,382,"MSU",1,"6231"
5,7,383,"MSU",1,"6233"
5,7,384,"MSU",1,"6237"
5,7,385,"MSU",1,"6241"
5,7,386,"MSU",1,"6253"
5,7,387,"MSU",1,"6273"
5,7,388,"MSU",1,"6279"
5,7,389,"MSU",1,"6283"
5,7,390,"MSU",1,"6291"
5,7,391,"MSU",1,"6293"
5,7,392,"MSU",1,"6295"
5,7,393,"MSU",1,"6297"
5,7,394,"MSU",1,"6299"
5,7,395,"MSU",1,"6201"
5,7,396,"MSU",1,"0211"
5,7,397,"MSU",1,"6215"
5,8,398,"BAY STREET",1,"0509"
5,8,399,"BAY STREET",1,"0513"
5,8,400,"BAY STREET",1,"0515"
5,8,401,"BAY STREET",1,"0519"
5,8,402,"BAY STREET",1,"0523"
5,8,403,"BAY STREET",1,"0527"
5,8,404,"BAY STREET",1,"0531"
5,8,405,"BAY STREET",1,"0535"
5,8,406,"BAY STREET",1,"0539"
5,8,407,"BAY STREET",1,"0545"
6,1,408,"HOBOKEN/TONNELLE",0,"170B42051"
6,1,409,"HOBOKEN/TONNELLE",0,"170B42052"
6,1,410,"HOBOKEN/TONNELLE",0,"170B42011"
6,1,411,"HOBOKEN/TONNELLE",0,"170B42054"
6,1,412,"HOBOKEN/TONNELLE",0,"170B42055"
6,1,413,"HOBOKEN/TONNELLE",0,"170B42051"
6,1,414,"HOBOKEN/TONNELLE",0,"170B42052"
6,1,415,"HOBOKEN/TONNELLE",0,"170B42011"
6,1,416,"HOBOKEN/TONNELLE",0,"170B42054"
6,1,417,"HOBOKEN/TONNELLE",0,"170B42055"
6,1,418,"HOBOKEN/TONNELLE",0,"170B42051"
6,1,419,"HOBOKEN/TONNELLE",0,"170B42052"
6,1,420,"HOBOKEN/TONNELLE",0,"170B42011"
6,1,421,"HOBOKEN/TONNELLE",0,"170B42054"
6,1,422,"HOBOKEN/TONNELLE",0,"170B42055"
6,1,423,"HOBOKEN/TONNELLE",0,"170B42051"
6,1,424,"HOBOKEN/TONNELLE",0,"170B42052"
6,1,425,"HOBOKEN/TONNELLE",0,"170B42011"
6,1,426,"HOBOKEN/TONNELLE",0,"170B42054"
6,1,427,"HOBOKEN/TONNELLE",0,"170B42055"
6,1,428,"HOBOKEN/TONNELLE",0,"170B42051"
6,1,429,"HOBOKEN/TONNELLE",0,"170B42052"
6,1,430,"HOBOKEN/TONNELLE",0,"170B42011"
6,1,431,"HOBOKEN/TONNELLE",0,"170B42054"
6,1,432,"HOBOKEN/TONNELLE",0,"170B42055"
6,1,433,"HOBOKEN/TONNELLE",0,"170B42051"
6,1,434,"HOBOKEN/TONNELLE",0,"170B42052"
6,1,435,"HOBOKEN/TONNELLE",0,"170B42011"
