service_id,date,exception_type
6,20110307,1
6,20110308,1
6,20110309,1
6,20110310,1
6,20110313,1
6,20110314,1
6,20110315,1
6,20110316,1
6,20110317,1
6,20110320,1
6,20110321,1
6,20110322,1
6,20110323,1
6,20110324,1
6,20110327,1
6,20110328,1
6,20110329,1
6,20110330,1
6,20110331,1
6,20110403,1
6,20110404,1
6,20110405,1
6,20110406,1
6,20110407,1
6,20110410,1
6,20110411,1
6,20110412,1
6,20110413,1
6,20110414,1
6,20110417,1
6,20110418,1
6,20110419,1
6,20110420,1
6,20110421,1
6,20110424,1
6,20110425,1
6,20110426,1
6,20110427,1
6,20110428,1
6,20110501,1
6,20110502,1
6,20110503,1
6,20110504,1
6,20110505,1
6,20110508,1
6,20110509,1
6,20110510,1
6,20110511,1
6,20110512,1
6,20110515,1
6,20110516,1
6,20110517,1
6,20110518,1
6,20110519,1
7,20101224,1
7,20110117,1
7,20110221,1
8,20101218,1
8,20101219,1
8,20101224,1
8,20101225,1
8,20101226,1
8,20110101,1
8,20110102,1
8,20110108,1
8,20110109,1
8,20110115,1
8,20110116,1
8,20110117,1
8,20110122,1
8,20110123,1
8,20110129,1
8,20110130,1
8,20110205,1
8,20110206,1
8,20110212,1
8,20110213,1
8,20110219,1
8,20110220,1
8,20110221,1
8,20110226,1
8,20110227,1
8,20110305,1
8,20110306,1
8,20110312,1
8,20110313,1
8,20110319,1
8,20110320,1
8,20110326,1
8,20110327,1
8,20110402,1
8,20110403,1
8,20110409,1
8,20110410,1
8,20110416,1
8,20110417,1
8,20110423,1
8,20110424,1
8,20110430,1
8,20110501,1
8,20110507,1
8,20110508,1
8,20110514,1
8,20110515,1
8,20110521,1
9,20101218,1
9,20110101,1
9,20110108,1
9,20110115,1
9,20110122,1
9,20110129,1
9,20110205,1
9,20110212,1
9,20110219,1
9,20110226,1
9,20110305,1
9,20110312,1
9,20110319,1
9,20110326,1
9,20110402,1
9,20110409,1
9,20110416,1
9,20110423,1
9,20110430,1
9,20110507,1
9,20110514,1
9,20110521,1
9,20110528,1
9,20110604,1
10,20101219,1
10,20101225,1
10,20101226,1
10,20110102,1
10,20110109,1
10,20110116,1
10,20110117,1
10,20110123,1
10,20110130,1
10,20110206,1
10,20110213,1
10,20110220,1
10,20110221,1
10,20110227,1
10,20110306,1
10,20110313,1
10,20110320,1
10,20110327,1
10,20110403,1
10,20110410,1
10,20110417,1
10,20110424,1
10,20110501,1
10,20110508,1
10,20110515,1
10,20110522,1
10,20110529,1
10,20110605,1
11,20101213,1
11,20101214,1
11,20101215,1
11,20101216,1
11,20101217,1
11,20101220,1
11,20101221,1
11,20101222,1
11,20101223,1
11,20101224,1
11,20101227,1
11,20101228,1
11,20101229,1
11,20101230,1
11,20101231,1
11,20110103,1
11,20110104,1
11,20110105,1
11,20110106,1
11,20110107,1
11,20110110,1
11,20110111,1
11,20110112,1
11,20110113,1
11,20110114,1
11,20110118,1
11,20110119,1
11,20110120,1
11,20110121,1
11,20110124,1
11,20110125,1
11,20110126,1
11,20110127,1
11,20110128,1
11,20110131,1
11,20110201,1
11,20110202,1
11,20110203,1
11,20110204,1
11,20110207,1
11,20110208,1
11,20110209,1
11,20110210,1
11,20110211,1
11,20110214,1
11,20110215,1
11,20110216,1
11,20110217,1
11,20110218,1
11,20110222,1
11,20110223,1
11,20110224,1
11,20110225,1
11,20110228,1
11,20110301,1
11,20110302,1
11,20110303,1
11,20110304,1
11,20110307,1
11,20110308,1
11,20110309,1
11,20110310,1
11,20110311,1
11,20110314,1
11,20110315,1
11,20110316,1
11,20110317,1
11,20110318,1
11,20110321,1
11,20110322,1
11,20110323,1
11,20110324,1
11,20110325,1
11,20110328,1
11,20110329,1
11,20110330,1
11,20110331,1
11,20110401,1
11,20110404,1
11,20110405,1
11,20110406,1
11,20110407,1
11,20110408,1
11,20110411,1
11,20110412,1
11,20110413,1
11,20110414,1
11,20110415,1
11,20110418,1
11,20110419,1
11,20110420,1
11,20110421,1
11,20110422,1
11,20110425,1
11,20110426,1
11,20110427,1
11,20110428,1
11,20110429,1
11,20110502,1
11,20110503,1
11,20110504,1
11,20110505,1
11,20110506,1
11,20110509,1
11,20110510,1
11,20110511,1
11,20110512,1
11,20110513,1
11,20110516,1
11,20110517,1
11,20110518,1
11,20110519,1
11,20110520,1
11,20110523,1
11,20110524,1
11,20110525,1
11,20110526,1
11,20110527,1
11,20110530,1
11,20110531,1
11,20110601,1
11,20110602,1
11,20110603,1
11,20110606,1
11,20110607,1
11,20110608,1
11,20110609,1
11,20110610,1
12,20110101,1
13,20101223,1
14,20101217,1
14,20101218,1
14,20101223,1
14,20101224,1
14,20101225,1
14,20110101,1
14,20110107,1
14,20110108,1
14,20110114,1
14,20110115,1
14,20110116,1
14,20110121,1
14,20110122,1
14,20110128,1
14,20110129,1
14,20110204,1
14,20110205,1
14,20110211,1
14,20110212,1
14,20110218,1
14,20110219,1
14,20110220,1
14,20110225,1
14,20110226,1
14,20110304,1
14,20110305,1
14,20110311,1
14,20110312,1
14,20110318,1
14,20110319,1
14,20110325,1
14,20110326,1
14,20110401,1
14,20110402,1
14,20110408,1
14,20110409,1
14,20110415,1
14,20110416,1
14,20110422,1
14,20110423,1
14,20110429,1
14,20110430,1
14,20110506,1
14,20110507,1
14,20110513,1
14,20110514,1
14,20110520,1
14,20110521,1
15,20101213,1
15,20101214,1
15,20101215,1
15,20101216,1
15,20101217,1
15,20101220,1
15,20101221,1
15,20101222,1
15,20101227,1
15,20101228,1
15,20101229,1
15,20101230,1
15,20101231,1
15,20110103,1
15,20110104,1
15,20110105,1
15,20110106,1
15,20110107,1
15,20110110,1
15,20110111,1
15,20110112,1
15,20110113,1
15,20110114,1
15,20110118,1
15,20110119,1
15,20110120,1
15,20110121,1
15,20110124,1
15,20110125,1
15,20110126,1
15,20110127,1
15,20110128,1
15,20110131,1
15,20110201,1
15,20110202,1
15,20110203,1
15,20110204,1
15,20110207,1
15,20110208,1
15,20110209,1
15,20110210,1
15,20110211,1
15,20110214,1
15,20110215,1
15,20110216,1
15,20110217,1
15,20110218,1
15,20110222,1
15,20110223,1
15,20110224,1
15,20110225,1
15,20110228,1
15,20110301,1
15,20110302,1
15,20110303,1
15,20110304,1
15,20110307,1
15,20110308,1
15,20110309,1
15,20110310,1
15,20110311,1
15,20110314,1
15,20110315,1
15,20110316,1
15,20110317,1
15,20110318,1
15,20110321,1
15,20110322,1
15,20110323,1
15,20110324,1
15,20110325,1
15,20110328,1
15,20110329,1
15,20110330,1
15,20110331,1
15,20110401,1
15,20110404,1
15,20110405,1
15,20110406,1
15,20110407,1
15,20110408,1
15,20110411,1
15,20110412,1
15,20110413,1
15,20110414,1
15,20110415,1
15,20110418,1
15,20110419,1
15,20110420,1
15,20110421,1
15,20110422,1
15,20110425,1
15,20110426,1
15,20110427,1
15,20110428,1
15,20110429,1
15,20110502,1
15,20110503,1
15,20110504,1
15,20110505,1
15,20110506,1
15,20110509,1
15,20110510,1
15,20110511,1
15,20110512,1
15,20110513,1
15,20110516,1
15,20110517,1
15,20110518,1
15,20110519,1
15,20110520,1
16,20101227,1
16,20101228,1
16,20101229,1
16,20101230,1
16,20101231,1
17,20101217,1
17,20110107,1
17,20110114,1
17,20110121,1
17,20110128,1
